Precinct,Burud_Pct,Rehmet_Pct,Dem_Vote_Change,Hancock_Pct,Wambsganss_Pct,Margin_2022,Margin_2026,Margin_Shift,hisp,nanglo,total,pct_hisp,pct_nonwhite,Shift_Direction,Shift_Code
1236,61.06194690265486,78.69822485207101,17.636277949416147,38.93805309734513,21.301775147928996,22.123893805309727,57.396449704142015,35.27255589883229,343,512,1075,0.31906976744186044,0.4762790697674419,Shift to Democrats,1
1277,54.33376455368693,67.94117647058823,13.607411916901299,45.66623544631307,32.05882352941177,8.667529107373866,35.882352941176464,27.214823833802598,301,951,1943,0.15491507977354607,0.4894493051981472,Shift to Democrats,1
1337,34.66013472137171,53.61552028218695,18.955385560815238,65.3398652786283,46.38447971781305,-30.679730557256583,7.231040564373899,37.91077112163048,415,749,3264,0.12714460784313725,0.22947303921568626,Shift to Democrats,1
1376,37.5,0.0,-37.5,62.5,100.0,-25.0,-100.0,-75.0,767,2337,4116,0.18634596695821184,0.5677842565597667,Shift to Republicans,-1
1408,67.74193548387096,87.5,19.75806451612904,32.25806451612903,12.5,35.48387096774193,75.0,39.51612903225807,204,244,372,0.5483870967741935,0.6559139784946236,Shift to Democrats,1
1415,72.36842105263158,81.73913043478261,9.370709382151034,27.631578947368425,18.26086956521739,44.73684210526315,63.47826086956522,18.741418764302068,2735,4475,5020,0.5448207171314741,0.8914342629482072,Shift to Democrats,1
1416,58.51063829787234,67.27272727272727,8.762088974854926,41.48936170212766,32.72727272727273,17.02127659574468,34.54545454545454,17.52417794970986,91,111,228,0.3991228070175439,0.4868421052631579,Shift to Democrats,1
1420,,0,,,0,,0,,0,0,0,,,Shift to Republicans,-1
1430,66.66666666666666,100.0,33.33333333333334,33.33333333333333,0.0,33.33333333333333,100.0,66.66666666666667,14,24,28,0.5,0.8571428571428571,Shift to Democrats,1
1434,,0,,,0,,0,,0,0,0,,,Shift to Republicans,-1
1437,48.739495798319325,64.94845360824742,16.208957809928094,51.26050420168067,35.051546391752574,-2.5210084033613427,29.896907216494846,32.41791561985619,343,575,975,0.3517948717948718,0.5897435897435898,Shift to Democrats,1
1455,0.0,0,0.0,100.0,0,-100.0,0,100.0,0,0,0,,,No Change,0
1457,100.0,0,-100.0,0.0,0,100.0,0,-100.0,0,0,0,,,Shift to Republicans,-1
1460,73.71303395399781,80.45454545454545,6.741511500547645,26.286966046002192,19.545454545454547,47.426067907995616,60.90909090909091,13.48302300109529,1531,6431,7568,0.20229915433403806,0.849762156448203,Shift to Democrats,1
1473,64.07766990291263,82.14285714285714,18.065187239944507,35.92233009708738,17.857142857142858,28.15533980582525,64.28571428571428,36.13037447988903,293,309,382,0.7670157068062827,0.8089005235602095,Shift to Democrats,1
1476,55.00000000000001,100.0,44.99999999999999,45.0,0.0,10.000000000000007,100.0,90.0,282,299,360,0.7833333333333333,0.8305555555555556,Shift to Democrats,1
1479,71.7948717948718,85.71428571428571,13.919413919413913,28.205128205128204,14.285714285714285,43.58974358974359,71.42857142857142,27.838827838827825,341,438,507,0.6725838264299803,0.863905325443787,Shift to Democrats,1
1490,65.47085201793722,68.57142857142857,3.1005765534913508,34.52914798206278,31.428571428571427,30.941704035874437,37.14285714285714,6.2011531069827015,168,1008,1377,0.12200435729847495,0.7320261437908496,Shift to Democrats,1
1491,100.0,0,-100.0,0.0,0,100.0,0,-100.0,9,12,20,0.45,0.6,Shift to Republicans,-1
1544,100.0,0,-100.0,0.0,0,100.0,0,-100.0,20,21,26,0.7692307692307693,0.8076923076923077,Shift to Republicans,-1
1547,,0,,,0,,0,,0,0,0,,,Shift to Republicans,-1
1549,,0,,,0,,0,,0,0,0,,,Shift to Republicans,-1
